exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,exp12,exp13,exp14,exp15,exp16,exp17,exp18
0.567131269,1.316225398,1.525735307,1.501945829,1.504311436,1.4539593040943146,1.2617402374744415,1.3628816485404969,1.2265976428985597,1.4641736090183255,1.2356236040592194,1.6537433445453644,1.1661227345466614,1.355309857428074,1.5083133041858674,1.3315489917993546,0.3768492624163627,0.5748840168118476
0.504278961,1.276189795,1.528748345,1.507437027,1.488207063,1.4177915275096893,1.1962972432374954,1.319846761226654,1.1846730515360833,1.3345199942588806,1.20947887301445,1.6418503940105438,1.1231717854738237,1.30931858420372,1.4395822644233705,1.3504226118326188,0.3891446128487587,0.5547540977597236
0.476518255,1.278880739,1.516249889,1.491368765,1.483476007,1.4065338611602782,1.1636409282684326,1.2795181810855865,1.147482369840145,1.366492998600006,1.1561351716518402,1.6300095319747925,1.1273468881845474,1.2386321246623992,1.436023324728012,1.3225958406925202,0.3894267812371254,0.5371596992015839
0.410808906,1.211420691,1.497912151,1.471926278,1.469224697,1.4125573575496673,1.1888928830623626,1.2613292723894118,1.1138243898749352,1.3787841379642487,1.102224451303482,1.6402814030647277,1.098622864484787,1.3074887156486512,1.3932211637496947,1.2945592403411863,0.3704067602753639,0.5572885438799858
0.409772879,1.196571162,1.492511803,1.468826336,1.467169583,1.4077726900577543,1.0930721431970596,1.2134345054626463,1.0702460274100305,1.3528596758842468,1.087664943933487,1.6405494332313535,1.05985489487648,1.1999414458870887,1.455195289850235,1.2668602615594864,0.3619705349206924,0.5623361185193062
0.377883753,1.209769562,1.499318951,1.460515833,1.444115651,1.425999492406845,1.110656499862671,1.1976025462150577,1.084138922393322,1.3120202720165253,1.0934588760137558,1.6332098424434662,1.0491725981235505,1.1745300814509392,1.3921548515558242,1.2967168927192687,0.3878258615732193,0.5660868555307388
0.452914526,1.144703788,1.498722118,1.448155195,1.451504809,1.3843132197856902,1.0742990612983705,1.1835085988044738,1.0931392386555672,1.258231058716774,1.097370797395706,1.6207026422023774,1.020359206199646,1.2206885531544684,1.3257119327783584,1.1869091272354126,0.4004032596945762,0.5676818907260894
0.637522076,1.122026816,1.494758129,1.450239956,1.422159693,1.3597587168216705,1.052322855591774,1.2084182053804398,1.0581550568342208,1.2358015209436417,1.0335434257984162,1.6466383934020996,0.9891019344329834,1.0702997505664826,1.3302467852830886,1.2252747148275376,0.3831038057804107,0.5630553439259529
0.34029419,1.121829957,1.490324986,1.43305341,1.422236896,1.377167236804962,1.0439469873905185,1.166870442032814,0.9789416342973708,1.219386422634125,0.9948463529348374,1.6336989521980283,0.9747813075780868,1.1114885911345482,1.2751026898622513,1.1551768064498902,0.4165262728929519,0.5532940253615379
0.292973915,1.114455125,1.473506236,1.436313999,1.412967023,1.338204425573349,1.00148184299469,1.1363468050956729,1.0520027995109558,1.2210623741149902,0.9196291357278824,1.619404149055481,1.000585800409317,1.1586769312620162,1.2858531445264816,1.136372882127762,0.3802849158644676,0.5475111857056618
